Nama SPKLU,Latitude,Longitude
SPKLU Rest Area KM 215 B Tol Terpeka,-4.249907,105.1368419
SPKLU Rest Area KM 33 A Tol Bakauheni-Terbanggi Besar,-5.6525667,105.584369
SPKLU Rest Area KM 33 B Tol Bakauheni-Terbanggi Besar,-5.6525606,105.5824981
SPKLU Rest Area KM 36 A Pekanbaru - Bangkinang,0.4114379,101.0443292
SPKLU Rest Area KM 36 B Bangkinang - Pekanbaru,0.4114379,101.0443292
SPKLU Rest Area KM 45 A Pekanbaru - Dumai,0.9366027,101.2279419
SPKLU Rest Area KM 65 B Pekanbaru - Dumai,1.1116506,101.2551956
SPKLU SANTIKA MEDAN,3.5891294,98.6701202
SPKLU SIDE WALK COFFEE,-0.2019607,100.6459828
SPKLU SKAY WAY COFFEE,-0.2581931,100.601272
SPKLU SOLOK PREMIERE HOTEL SYARIAH,-0.7885845,100.6647148
SPKLU SUMUT SPORT CENTRE ASTAKA,3.6084961,98.7059009
SPKLU SWISS-BELHOTEL JAMBI,-1.6044473,103.5983771
SPKLU TANG AIA CAFE & RESTO,-0.8784705,101.3278178
SPKLU THE TRADERS MEDAN,3.5744066,98.6626758
SPKLU TRANSMART PALEMBANG CITY CENTRE,-2.9816309,104.744493
SPKLU TRANSMART PEKANBARU A,0.5031676,101.4174842
SPKLU TRANSMART PEKANBARU B,0.5031676,101.4174842
SPKLU Taman AeroSport,0.4662981,101.4533881
SPKLU Taman Merdeka Kota Metro,-5.114762,105.3056761
SPKLU ULP MEDAN SUNGGAL,3.5681285,98.6113624
SPKLU ULP TAPAK TUAN,3.2624846,97.1770927
SPKLU UNAND,-0.91614,100.4572314
SPKLU UP3 Meulaboh,4.1521731,96.1272598
SPKLU WING HUB KUALANAMU,3.598074,98.8282092
SPKLU WISMA PLN BUKITTINGGI,-0.3029354,100.3662832
