Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP PERAWANG,"Jl. Moh. Ali, Perawang Bar., Kec. Tualang, Kabupaten Siak, Riau",Buka 24 Jam,0.00,121.23 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 09:55:55
SPKLU SKAY WAY COFFEE,"Jl. Raya Bukittinggi - Payakumbuh No.233, Pakan Sinayan, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26224",Buka 24 Jam,5.00,121.43 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 09:56:12
SPKLU HOTEL MAHKOTA PONTIANAK,"Jl. Sidas No.8, Tengah, Pontianak Kota, Pontianak, Kalimantan Barat",Buka 24 Jam,5.00,848.90 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 11:50:17
SPKLU Drive Thru Komasda,"Jl. Ahmad Yani, Tanjung Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33412",Buka 24 Jam,5.00,709.51 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:58:28
SPKLU PLN UPDL TUNTUNGAN,"Jl. Lap. Golf No.35, Kp. Tengah, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353",Buka 24 Jam,5.00,555.11 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:41:27
SPKLU PLN KANTOR JAGA PAYUNG,"Jl. Ahmad Yani, Payung, Bangka Selatan, Kepulauan Bangka Belitung 33778",Buka 24 Jam,0.00,548.76 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:40:47
SPKLU Aryana Karawaci,"Perum Aryana Karawaci, Suka Bakti, Kec. Curug, Kabupaten Tangerang, Banten",Buka 24 Jam,4.08,840.67 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-15 11:31:47
SPKLU PELABUHAN BAKAUHENI,"Bakauheni, Kabupaten Lampung Selatan, Lampung",Buka 24 Jam,5.00,751.17 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-15 11:01:20
SPKLU HVT HARCO MANGGA DUA,"Marco Mangga Dua, Ancol, Kec. Pademangan, Jakarta Utara, DKI Jakarta 14430",Buka 24 Jam,4.76,849.30 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 11:52:12
SPKLU SPBU KEBON NANAS,"Jl. MH. Thamrin, RT.001/RW.001, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143",Buka 24 Jam,4.00,841.94 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-15 11:34:10
SPKLU PLN ULP TEUNOM,"Desa Panton, Kec. Teunom, Kabupaten Aceh Jaya, Aceh 23653",Buka 24 Jam,0.00,848.85 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 11:50:07
SPKLU Alun-Alun Rangkasbitung,"Jl. Alun-alun Rangkasbitung, Lebak Banten",Buka 24 Jam,3.29,827.43 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 11:16:58
SPKLU PLN UP3 PAYAKUMBUH,"Jl. Raya Bukittinggi - Payakumbuh 48, Daya Bangun, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,4.69,122.80 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 09:57:10
SPKLU BANDARA CITY MALL,"Jl. Wijaya Kusuma 3 No. 21 Dadap, Kec. Kosambi, Kabupaten Tangerang, Banten",Buka 24 Jam,2.59,835.92 km,2/2 Konektor Tersedia,(),(),2025-05-15 11:24:28
SPKLU PLN MESJID SYUHADA PALANGKI,"Simpang 4 palangki, Koto Baru, Kec. IV Nagari, Kabupaten Sijunjung, Sumatera Barat 27564",Buka 24 Jam,5.00,97.27 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 09:50:26
SPKLU ULP MEDAN SUNGGAL,"Jl. Bunga Raya No.11, Asam Kumbang, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20128",Buka 24 Jam,4.29,560.08 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:45:55
SPKLU PLN ULP LIMAPULUH,"Jl. Perintis Kemerdekaan, Lima Puluh Kota, Kec. Lima Puluh, Kabupaten Batu Bara, Sumatera Utara 21255",Buka 24 Jam,5.00,472.27 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:30:55
SPKLU PLN BANDARA MINANG KABAU,"Jl. Katapiang, Kec. Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat 25586 (P7)",Buka 24 Jam,5.00,164.36 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:06:33
SPKLU PLN TRANSMART PADANG,"Jl. Khatib Sulaiman No.85, Ulak Karang Sel., Kec. Padang Utara, Kota Padang, Sumatera Barat 25137",Buka 24 Jam,5.00,160.89 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-15 10:04:37
SPKLU HOTEL SIBAYAK BERASTAGI,"Jl. Merdeka, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156",Buka 24 Jam,4.79,536.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:39:21
SPKLU KANTOR YANTEK PLN UP3 KEBON JERUK,KANTOR YANTEK PLN UP3 KEBON JERUK,Buka 24 Jam,4.61,848.83 km,3/3 Konektor Tersedia,"('22 kW', '22 kW', '22 kW')","(1, 1, 1)",2025-05-15 11:49:49
SPKLU PLN ULP LUBUK SIKAPING,"Jl. Ratulangi 13, Pauah, Kec. Lubuk Sikaping, Kabupaten Pasaman, Sumatera Barat 26318",Buka 24 Jam,5.00,182.98 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:08:05
SPKLU UNAND,"Jl. Lingkar Universitas Andalas, Limau Manis, Kec. Pauh, Kota Padang, Sumatera Barat 25176",Buka 24 Jam,4.75,150.60 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 10:01:26
SPKLU Hotel Narita Tangerang,"Jl. KH. Hasyim Ashari No.63-65, Cipondoh, Kec. Karang Tengah, Kota Tangerang, Banten 15157",Buka 24 Jam,4.86,842.86 km,3/3 Konektor Tersedia,"('7 kW', '7 kW', '22 kW')","(1, 1, 1)",2025-05-15 11:35:09
SPKLU PLN ULP BANGKINANG,"Jl. Langgini, Kec. Bangkinang, Kabupaten Kampar, Riau",Buka 24 Jam,5.00,113.92 km,1/1 Konektor Tersedia,(),(),2025-05-15 09:54:35
SPKLU THE TRADERS MEDAN,"Jl. Kapten Patimura No.423, Darat, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153",Buka 24 Jam,5.00,557.16 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:42:33
